interaction_id,user_id,movie_id,watch_date,watch_duration_minutes,completed,user_rating,device_type
I000326,U02507,M04620,2026-04-25,69,True,4,Firestick
I000327,U01595,M08068,2025-10-20,133,True,1,Smart TV
I000328,U02264,M03199,2025-12-26,79,True,3,Mobile
I000329,U00758,M00236,2024-09-05,7,False,3,Mobile
I000330,U01700,M01916,2025-11-17,80,False,1,Mobile
I000331,U02820,M04554,2025-08-10,115,True,3,Smart TV
I000332,U02988,M05744,2026-06-14,149,True,4,Laptop
I000333,U01702,M07845,2025-06-03,75,False,4,Mobile
I000334,U02498,M04322,2025-09-07,78,True,3,Mobile
I000335,U01275,M07074,2023-11-25,124,False,3,Smart TV
I000336,U02356,M04614,2024-10-16,148,True,2,Mobile
I000337,U02171,M07239,2026-07-15,134,True,4,Mobile
I000338,U01669,M06825,2024-05-10,91,False,3,Smart TV
I000339,U02072,M02019,2026-03-27,165,True,4,Mobile
I000340,U01714,M02287,2025-01-23,91,False,4,Tablet
I000341,U01205,M07420,2026-06-01,121,True,4,Laptop
I000342,U01503,M03922,2025-06-10,32,False,3,Smart TV
I000343,U01620,M00673,2026-02-26,153,True,3,Mobile
I000344,U00528,M00265,2026-05-01,114,False,4,Tablet
I000345,U00227,M01792,2024-02-14,137,True,2,Mobile
I000346,U02489,M07267,2026-03-29,30,False,2,Laptop
I000347,U00298,M07265,2026-02-07,100,True,4,Firestick
I000348,U00896,M03359,2026-04-03,131,True,3,Tablet
I000349,U02086,M04164,2025-03-17,135,True,4,Smart TV
I000350,U01988,M07165,2025-08-14,102,True,2,Mobile
I000351,U00864,M03996,2025-12-06,18,False,4,Firestick
I000352,U00475,M07576,2026-03-10,126,True,4,Laptop
I000353,U01833,M07973,2026-03-06,131,True,4,Mobile
I000354,U02733,M06197,2026-02-19,66,False,3,Smart TV
I000355,U00869,M04659,2025-10-05,137,True,5,Mobile
I000356,U00420,M01640,2026-07-05,133,True,3,Laptop
I000357,U02481,M00893,2025-10-01,153,True,3,Firestick
I000358,U02380,M06880,2024-01-25,44,False,4,Mobile
I000359,U00065,M07266,2026-05-24,88,True,4,Mobile
I000360,U00679,M05074,2024-04-15,67,False,1,Smart TV
I000361,U02558,M03354,2025-04-15,77,False,3,Tablet
I000362,U02629,M00157,2025-05-17,23,True,3,Laptop
I000363,U02779,M03871,2025-08-15,17,False,5,Smart TV
I000364,U00595,M05159,2025-08-24,99,True,4,Smart TV
I000365,U02330,M04105,2025-10-25,141,True,2,Mobile
I000366,U02050,M02420,2026-03-26,115,True,4,Laptop
I000367,U00797,M02903,2025-12-18,15,False,3,Tablet
I000368,U00914,M01984,2026-05-23,39,False,4,Smart TV
I000369,U00225,M08059,2025-07-22,99,True,4,Smart TV
I000370,U00635,M01025,2025-01-03,152,True,2,Smart TV
I000371,U00126,M02384,2026-05-27,74,True,5,Mobile
I000372,U02301,M01173,2026-06-20,69,False,4,Mobile
I000373,U02745,M06104,2025-05-04,83,False,4,Tablet
I000374,U02131,M00083,2025-05-02,108,False,4,Tablet
I000375,U01412,M06210,2026-03-07,22,False,3,Mobile
I000376,U02848,M05697,2025-06-21,108,True,5,Smart TV
I000377,U00604,M06427,2024-04-16,127,True,3,Laptop
I000378,U01779,M00632,2026-01-11,115,True,2,Smart TV
I000379,U02347,M06424,2024-06-16,124,True,2,Firestick
I000380,U00888,M05337,2024-08-27,18,False,3,Tablet
I000381,U00597,M00542,2025-02-05,42,False,3,Mobile
I000382,U00493,M02662,2026-05-26,5,False,3,Mobile
I000383,U02407,M06560,2025-06-28,140,True,4,Smart TV
I000384,U02565,M02422,2025-08-22,25,False,4,Mobile
I000385,U00917,M05818,2025-07-23,76,False,4,Mobile
I000386,U01595,M00516,2025-04-09,144,True,2,Firestick
I000387,U01586,M01153,2024-04-09,128,True,5,Mobile
I000388,U02507,M07137,2026-06-13,10,False,4,Mobile
I000389,U02162,M05425,2026-04-13,131,True,2,Mobile
I000390,U02485,M03402,2026-07-13,122,True,3,Smart TV
I000391,U00726,M01891,2026-05-29,133,True,4,Tablet
I000392,U01816,M07559,2026-04-04,128,True,3,Mobile
I000393,U01509,M02965,2024-07-11,117,True,4,Tablet
I000394,U01805,M02522,2026-05-12,135,True,2,Mobile
I000395,U01840,M02596,2026-06-08,100,False,2,Smart TV
I000396,U00533,M04821,2026-07-15,139,True,3,Laptop
I000397,U02016,M05191,2025-08-31,119,False,2,Firestick
I000398,U00660,M01126,2024-02-10,36,False,2,Mobile
I000399,U02147,M02896,2025-11-17,166,True,3,Firestick
I000400,U00813,M02223,2025-04-02,109,True,4,Mobile
I000401,U01287,M02318,2024-06-02,73,True,3,Firestick
I000402,U01644,M04637,2024-07-09,74,False,4,Mobile
I000403,U00673,M03639,2025-12-16,99,True,3,Mobile
I000404,U01556,M06311,2026-07-02,117,True,3,Tablet
I000405,U02743,M04060,2025-04-16,171,True,4,Smart TV
I000406,U01413,M02450,2025-05-02,145,True,4,Mobile
I000407,U02736,M02933,2025-04-06,81,True,4,Mobile
I000408,U00691,M06678,2024-03-14,138,True,3,Mobile
I000409,U01621,M00530,2026-01-04,16,False,3,Mobile
I000410,U00217,M02281,2024-03-21,58,False,4,Mobile
I000411,U02189,M01287,2026-04-05,80,False,2,Smart TV
I000412,U02103,M02426,2025-12-16,105,True,2,Tablet
I000413,U02618,M04247,2026-04-14,72,False,3,Tablet
I000414,U00420,M04031,2026-06-24,132,True,3,Firestick
I000415,U01720,M05086,2025-08-09,147,True,3,Tablet
I000416,U02996,M05103,2025-07-31,114,True,3,Laptop
I000417,U00949,M00444,2024-12-08,149,True,2,Tablet
I000418,U02111,M05690,2025-12-27,58,False,4,Mobile
I000419,U02345,M00001,2024-11-20,6,False,3,Laptop
I000420,U02411,M06814,2025-09-20,110,True,3,Firestick
I000421,U00488,M01024,2026-05-28,149,True,5,Firestick
I000422,U00967,M00513,2026-07-13,107,True,2,Tablet
I000423,U00064,M00012,2025-12-04,154,True,4,Mobile
I000424,U02699,M02556,2025-09-19,126,True,3,Smart TV
I000425,U01344,M00834,2026-07-11,138,True,2,Mobile
I000426,U02702,M04124,2025-10-22,124,True,3,Smart TV
I000427,U00430,M06844,2025-03-04,122,True,4,Mobile
I000428,U00299,M07595,2024-09-29,10,False,2,Smart TV
I000429,U01341,M04341,2026-05-21,66,False,3,Smart TV
I000430,U02189,M07402,2026-07-09,118,True,4,Smart TV
I000431,U02495,M07730,2025-02-02,103,True,4,Mobile
I000432,U00649,M00329,2026-05-10,38,False,3,Firestick
I000433,U02834,M00728,2026-05-16,68,False,2,Firestick
I000434,U02451,M03141,2023-11-25,114,True,5,Firestick
I000435,U02656,M07361,2026-04-15,112,True,5,Tablet
I000436,U02498,M07181,2026-07-08,107,True,4,Mobile
I000437,U01421,M06098,2025-11-27,135,True,3,Firestick
I000438,U00147,M07861,2025-02-20,58,True,4,Mobile
I000439,U00734,M06097,2024-08-09,163,True,2,Mobile
I000440,U00803,M05495,2026-07-08,138,True,4,Firestick
I000441,U01852,M07683,2026-07-13,65,True,2,Smart TV
I000442,U02947,M05223,2025-03-16,82,False,3,Smart TV
I000443,U01575,M06037,2026-01-18,92,True,3,Smart TV
I000444,U02037,M07791,2025-11-09,116,True,3,Tablet
I000445,U01312,M01728,2026-07-01,98,True,1,Laptop
I000446,U02635,M05925,2025-02-22,135,True,3,Mobile
I000447,U00763,M03714,2025-12-01,47,False,3,Laptop
I000448,U00123,M02993,2026-05-16,92,False,2,Mobile
I000449,U02981,M00427,2025-10-04,54,False,3,Mobile
I000450,U00512,M07504,2025-08-26,145,True,4,Laptop
I000451,U01404,M06675,2026-06-24,135,True,3,Mobile
I000452,U02145,M05020,2024-10-15,157,True,3,Mobile
I000453,U02505,M03292,2025-01-29,135,True,3,Mobile
I000454,U02182,M07163,2024-05-23,96,False,3,Tablet
I000455,U00911,M01764,2025-09-16,130,True,5,Firestick
I000456,U02346,M02389,2025-12-06,143,True,5,Mobile
I000457,U00327,M01120,2025-10-24,27,False,4,Laptop
I000458,U02960,M02550,2026-07-11,124,True,4,Firestick
I000459,U01407,M05126,2024-05-06,110,True,1,Firestick
