movie_id,title,language,genre,release_year,decade,running_time_minutes,imdb_rating,rating_category,maturity_rating,plot,plot_word_count,is_rating_imputed,is_year_imputed
M00023,Mera Pind: My Home,Punjabi,Drama,2008,2000s,164,6.6,Good,All,"An NRI moves to his native village to spread the message of empowerment among the youth. Under his support, Himmat, a young man leads the youth to contribute to the village's development.",32,False,False
M00024,City of football,Bengali,Drama,2019,2010s,2,6.8,Good,13+,"Here's a tribute to our city of joy, the hoichoi way! Presenting the 1st Chapter of Kolkata Minis : City of Football. Watch the video on Hoichoi!",27,True,False
M00025,300: Rise of an Empire,Tamil,Action,2014,2010s,102,6.2,Good,18+,"This new chapter of the epic ""300"" saga takes the action to the sea, where Greek general Themistokles battles invading Persian forces led by Xerxes and the naval commander Artemisia.",30,False,False
M00026,Nana Mama,Marathi,Action,2006,2000s,139,5.8,Average,All,"Nana, a taxi driver unknowingly helps DD, a notorious criminal. In order to return the favour, DD forces him to join his gang, but Mama, a smart police officer ruins his plan.",32,False,False
M00027,Hutututu Aavi Ramat Ni Rutu,Gujarati,Romance,2016,2010s,133,7.2,Good,All,"Hu Tu Tu Tu is based on youth, relationships, ambitions, and the twists of destiny. A tale - never told before.",21,False,False
M00028,Uss Din,Hindi,Family,2010,2010s,11,7.4,Good,18+,Two neighboring kids try to keep their game of cricket alive while their feuding families stock up on weapons.,19,False,False
M00029,Edge of Obedience,English,Action,2020,2020s,51,8.6,Excellent,13+,"One of Malaysia’s foremost artists, Ahmad Zakii Anwar has never been shy of expressing political dissent through his paintings. The film explores the taboos in the countries related to artistic expression as experienced by Anwar.",35,False,False
M00030,Eye To Eye With Everest: Death On A Mountain,English,Drama,2019,2010s,85,6.4,Good,13+,"While going on a brave expedition to ascend the Mount Everest, visually-impaired Thomas Weber asks two cameraman to follow him. As the journey goes on, the director and the cameraperson of this film find it hard to acclimatize. Going through accidents, and becoming a part of the well-known story of Australian climber Lincoln Hall, the trio create a historic adventure through their climb.",63,True,False
M00031,Megh-O-Roudra,Bengali,Action,2017,2010s,96,6.8,Good,NR,A story when our nation was not independent and how the Britishers turned the law against the Indians for there needs. Even though the Indians were learned and educated still they were unable to fight against their injustice. the story also has a small back drop of a untold love story of a girl who had an urge of education.,60,True,True
M00032,Kanhaiya Ek Yodha (Hindi),Hindi,Romance,2019,2010s,116,4.7,Average,13+,"Kanhaiya Ek Yodha is a Hindi Dubbed romantic action film. The local toughie is hired as a bodyguard to protect a girl from the rivals of her family and becomes a natural target for her enemies. In the process, he ends up falling in love with her.",47,False,False
M00033,Yajamana,Kannada,Action,2019,2010s,161,6.7,Good,13+,The film revolves around a hardworking man Krishna who lives in Hulidurga and is famous for traditional oil extraction. He is torn apart from being the rightful owner with the entry of business tycoon Devi Shetty. Will Krishna fight against all odds to bring justice to his people? Who will become the real `Yajamana` is what forms the crux of the story.,62,False,False
M00034,Sketch,Telugu,Romance,2018,2010s,133,5.7,Average,13+,"Jeeva alias Sketch (Vikram) is a recovery man who tows back the vehicles whose EMI isn't paid. He falls in love with Ammu (Tamanna Bhatia) who goes against her parents' wish to marry him. Everything seems right when one of after the other, Sketch's friends keep getting killed. How Sketch get to know about what is happening makes the rest of the story.",63,False,False
M00035,Toonpur Ka Superrhero,Hindi,Family,2010,2010s,95,4.2,Average,NR,Toonpur ka Superhero is a comedy kids film directed by Kireet Khurana starring Ajay Devgan and Kajol in the lead roles. Aditya (Ajay Devgan) a film superstar and his wife Priya (Kajol) have achieved all the success that they had dreamt of. Their children would rather have a father who is a 'Real life' hero than a reel life hero. Aditya wants to redeem himself in the eyes of his children when ...,73,False,False
M00036,Pinky Mogewali,Punjabi,Action,2012,2010s,134,3.7,Low,13+,"After the loss of her mother, Pinky earns for her father's illusive love. She gets herself kidnapped by a gang of crooks, just to get his attention.",27,False,False
M00037,Ong-Bak: Muay Thai Warrior,English,Drama,2005,2000s,100,7.2,Good,16+,"When the head of a statue sacred to a village is stolen, a young martial artist goes to the big city and finds himself taking on the underworld to retrieve it",31,False,False
M00038,Murder,Telugu,Action,2020,2020s,110,6.4,Good,13+,"Madhava Rao is a man of principles and holds a respectable position in his hometown. He and his wife, Vanaja raise their only daughter Namrata quite well and select a good match. This is the time, Namrata shocks her parents by marrying a guy called Praveen. This angers Madhava Rao big time and he plots to kill Praveen. What did he do and what kind of sequences he faced forms the story.",72,True,False
M00039,Great Sardaar,Punjabi,Action,2017,2010s,108,5.2,Average,13+,"Three men rise up to take revenge on the people responsible for murdering the Great Sardar, who was the people's saviour, and leaving their motherly aunt bereft of her husband.",30,False,False
M00040,Kharij,Bengali,Drama,2019,2010s,90,6.8,Good,13+,মৃণাল সেনের এই ছবির কেন্দ্রে রয়েছে একটি মধ্যবিত্ত পরিবারে ভৃত্য হিসেবে নিযুক্ত এক শিশুর রহস্যজনক মৃত্যু।,16,True,False
M00041,Open Water,English,Documentary,2004,2000s,79,5.7,Average,18+,"Dan and Susan are ecstatic to finally be on their much anticipated tropical holiday in the Caribbean. However, after a mistake by their boat staff the pair are left alone in the middle of the ocean, and their ordeal soon becomes a full blown nightmare when sharks start to appear. Inspired by a true story.",55,False,False
M00042,Prema Kama,Kannada,Drama,1978,1970s,98,5.9,Average,NR,"Prema Kama is an Indian Kannada film directed and produced by V R K Prasad. The film stars Devadas, Chayapathi, Rekha Rao, G V Iyer and Jyothsna Rao in the lead roles. Music of the film was composed by Yoganarasimha",40,False,False
M00043,Jhankaar Beats,Hindi,Drama,2003,2000s,131,7.2,Good,18+,"Juggling personal predicaments and workplace woes, three buddies and band-mates practice for their ultimate dream: winning a coveted music competition.",20,False,False
M00044,Volcano Returns,Hindi,Action,2014,2010s,84,6.2,Good,NR,"When a former Special Ops Commando visits Pompeii, his wife and daughter are trapped as Mt. Vesuvius erupts with massive force. While his family fights to survive the deadly onslaught of heat and lava, he enlists his former teammates in a daring operation beneath the ruins of Pompeii.",48,True,False
M00045,Law Abiding Citizen,Tamil,Action,2009,2000s,104,7.4,Good,18+,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.,39,False,False
M00046,Sei To Abar Kache Ele,Bengali,Romance,2017,2010s,138,6.8,Good,13+,A 90’s film about the love story of Animesh and Sita. What happens when Sita’s evil twin tries to ruin the relationship?,22,True,False
M00047,48 Hrs.,English,Action,1982,1980s,96,6.9,Good,18+,"Nolte is a roughedged cop after two vicious cop-killers. He can’t do it without the help of smooth Murphy, who is serving time for a half-million dollar robbery.",28,False,False
M00048,K.G.F: Chapter 1 (Malayalam),Malayalam,Drama,2018,2010s,154,8.2,Excellent,13+,KGF Chapter 1 is a film based on the gold mines that represents absolute power. The film is based on power struggle to rule these fields which eventually becomes one man’s destiny and his final destination.,36,False,False
M00049,Stronger (2017),English,Drama,2017,2010s,119,6.9,Good,18+,Jake Gyllenhaal stars in the inspiring true story of the real life 2013 Boston Marathon bombing survivor Jeff Bauman.,19,False,False
M00050,Teen Cup Chaa,Bengali,Drama,2018,2010s,47,5.7,Average,13+,"Three different stories blended in a single movie, are brewed and connected by the exemplary Bengali beverage, Chaa.",18,False,False
M00051,Ramgarh Ke Sholay,Hindi,Comedy,1991,1990s,124,4.8,Average,All,"Ramgarh Ke Sholay Is Action Comedy Hindi Movie, Directed By Ajit Dewani, Starring Amjad Khan, Johnny Lever, Kishore Bhanushali And Vijay Saxena In The Lead Roles. The Film Parodies The Classic Bollywood Blockbuster Sholay. Chaos Ensues After Impostors Of Prominent Actors Turn Up To Save Jaiwanti And Other Villagers From The Terror Of Gabbar And His Henchmen Lamba And Goriya.",60,False,False
M00052,Parampara,Hindi,Drama,1993,1990s,148,5.7,Average,13+,"Friends Pratap and Ranvir eventually discover that there is an old score to be settled between their families. Unfortunately, this can only be settled when they face each other in a deadly duel.",33,False,False
M00053,Manmatha Raja,Kannada,Drama,1989,1980s,129,5.1,Average,NR,"Manmatha Raja is a 1989 Indian Kannada film, directed by Om Saiprakash and produced by J Devadas Reddy. The film stars Kashinath, Sudharani, Jaggesh, Omganesh, Srinivasamurthy, Lohithashwa, Mysore Lokesh, Aravind, Sadashiva Brahmavar and Dingri Nagaraj in lead roles. The film had musical score Chakravarthy.",44,False,False
M00054,Badal,Hindi,Action,2009,2000s,135,4.9,Average,NR,Badal is on a mission to overthrow the tyrant rule in the kingdom; however what he doesn’t know is that his past is connected to the royals!,27,False,True
M00055,Sahara,Hindi,Drama,2009,2000s,135,6.0,Good,NR,"Sahara is a 1958 Indian Hindi film, directed by Lekhraj Bhakri. The film stars Meena Kumari, Manoj Kumar and Daisy Irani in lead roles. The film had musical score by Hemant Kumar.",32,False,True
M00056,Jamalaye Jibanta Manush,Bengali,Action,2017,2010s,123,7.5,Excellent,NR,"Siddheshwar is a young enthusiast of the village who works hard day and night for the benefit of the village. He is in love with Madhuri, the daughter of a businessman named Hari. Hari is an influential man of the village and despises Sidhu to the core. Sidhu and Madhuri decide to get married in secrecy however just before the conclusion of their wedding, Hari together with his gang, breaks ...",71,False,True
M00057,Dash Mash Dash Diner Galpo,Bengali,Drama,2019,2010s,114,5.7,Average,All,"The Last Refuge For Elderly Parents Abandoned By Their Children, Apanjan Is An Old Age Home. The Film Revolves Around The Lives Of Apanjans Inhabitants, And How Karma Finds Its Way To Teach Their Ungrateful Children An Important Life Lesson.",40,False,False
M00058,Bodhai Yeri Budhi Maari,Tamil,Romance,2019,2010s,117,6.4,Good,13+,"Karthik is jubilant, as he is getting ready to marry his lady love. At his bachelor's party, he takes a drug, which is very powerful than cocaine. After that, there happened a big twist in his life. Meanwhile, a journalist is looking for the drug addicts to get an interesting article and at the same time, a corrupt cop searches for the drug peddlers. Whether he rescue or not in rest of the film.",74,False,False
M00059,Crack,Kannada,Thriller,2017,2010s,142,7.1,Good,NR,"Crack, a quirky, badass encounter specialist cop is transferred to Bengaluru to catch a serial killer. He investigates the murders across the state only to find out a personal link that might change his life forever.",36,True,False
M00060,Campus,Telugu,Drama,2000,2000s,70,6.4,Good,NR,"Campus is a 2002 Indian Telugu film, directed by Dharma and produced by M-San. The film stars Venki, Rajdeep, Raja Shekhar and Enitha in lead roles. Music of the film was composed by Nawas.",34,True,False
M00061,Hare Kanch Ki Chooriyan,Hindi,Drama,2009,2000s,147,6.5,Good,NR,"Hare Kanch Ki Chooriyan is a 1967 Indian Hindi film, directed by Kishore Sahu and produced by Kishore Sahu. The film stars Vishwajeet, Naina Sahu, Shiv Kumar, Helen and Nazir Hussain in lead roles. The film had musical score by Shanker Jaikishan.",42,False,True
M00062,Pagadi Aattam,Tamil,Thriller,2017,2010s,122,5.7,Average,All,"Suriya is a spoiled brat who deceives girls in the name of romance. Kousalya is one of the victim who falls into his trap. One day, Suriya gets kidnapped and finds himself trapped in a wooden box akin to a coffin. Following Suriya's parents complaint, ACP Devendra Kumar (Rahman) takes up the case. What happens in course of investigation forms the rest of the story.",65,False,False
M00063,World War Z,Hindi,Action,2013,2010s,116,7.0,Good,13+,"World War Z is the fast-paced, pulse-pounding epic of the potential last days of the human race. Former United Nations employee Gerry Lane (Brad Pitt) is called in to help stop the pandemic that has spread around the world.",39,False,False
M00064,Joy of Data,English,Drama,2016,2010s,59,6.9,Good,13+,"This mind-expanding, high-tech documentary, hosted by mathematician Dr. Hannah Fry, reveals what data is and how it is captured, stored, shared, and analyzed. Fry tells the story of the engineers of the data age, people most of us have never heard of despite creating a technological and philosophical revolution. Modern society runs on data, making information the world's most valuable asset.",61,False,False
M00065,Faasle,Hindi,Drama,1985,1980s,146,4.6,Average,16+,Vikram (Sunil Dutt) is a wealthy man and has brought up his motherless daughter Chandni (Farah) and son Sanjay (Farooq Shaikh) sacrificing his own personal happiness. When Vijay (Rohan Kapoor) comes into Chandni’s life - her father’s disapproval and her impending arranged marriage threatens the love between Chandni and Vijay. FAASLE is a story of everyone doing what they believe to be right.,63,False,False
M00066,Vasudev Balwant Phadke,Marathi,Drama,2007,2000s,126,6.5,Good,All,Vasudev Balwant Phadke's sacrifice rekindled the dying flames of the 1857 Uprising and he came to be worshipped as the foremost revolutionary of the nation. Watch the movie to find out how he fought against all odds.,37,False,False
M00067,Sakthivel,Tamil,Romance,1994,1990s,149,6.4,Good,All,"Vijayakumar is an honest cop. On a punishment transfer as sub-inspector he goes to Karuvathur. There, the feud is lead by Rajeev and Ravichandran. Selva is the local youngster, falls in love with Kanaga, Vijayakumar's daughter. Vijayakumar tried to unite Rajeev and Ravichandran but Manjula, Vijayakumar's wife gets killed in the process. What happens next is the rest of the narration.",61,True,False
M00068,Angakkuri,Malayalam,Drama,1979,1970s,142,6.4,Good,NR,"Angakkuri 1979 Indian Malayalam film, directed by Vijayanand and Produced by C. V. Hariharan. The film stars Jayan, Sukumaran, K. P. Ummer, Sankaradi, Seema, Jayabharathi, Pappu and Mala. in lead roles. The music of the film was composed by A. T. Ummer.",42,True,False
M00069,Thinkalaazhcha Nalla Divasam,Malayalam,Drama,1985,1980s,119,7.2,Good,All,Two sons and their families get together to celebrate their mother's 60th birthday in their ancestral house. But problems develop when the younger son reveals his plan to sell the house for money and put the mother in an old age home.,42,False,False
M00070,Adhyan,Tamil,Action,2015,2010s,108,6.4,Good,All,"Abhimanyu is an NRI who lives in Japan. He wants to marry a girl who hails from Tamil Nadu. While he is in search of his girl friend, he meets Sakshi Agarwal through Facebook. On his way to Chennai, he got struck in a smuggling case. He comes across the taxi driver Maheshwaran, Police officer Jeyachandran and Gangster Jenish. What made them to come across? Forms the rest of the story.",71,True,False
M00071,Keechu Raallu,Telugu,Drama,2005,2000s,123,6.4,Good,NR,"Keechu Raallu is a 2005 Indian Telugu film, directed by Vicky G. The film stars Payal Rohatgi, Farid Amiri, Daya Shankar Pandey and Nirmal Pandey in lead roles. The music of the film was composed by Bappi Lahari.",38,True,False
M00072,Uttara Dakshina,Kannada,Drama,1972,1970s,145,7.1,Good,NR,"Uttara Dakshina is a 1972 Indian Kannada movie directed by Rajkishore and produced by Uma Sadashiv. The film stars Kalpana, Ramesh and Pandaribai in lead roles. Music of the film was composed by M Ranga Rao.",36,True,False
M00073,Punnami Rathri,Telugu,Drama,1985,1980s,121,6.4,Good,NR,"Punnami Rathri is a 1985 Indian Telugu film, directed by P. Chandrasekhara Reddy and produced by VS Ranganatha Varma The film stars Bhanuchander, Pavithra, Narayana Reddy, Alias, Siddhartha and Silk Smitha in lead roles. The music of the film was composed by Raj-Koti.",43,True,False
M00074,Greenfingers,English,Romance,2001,2000s,91,6.8,Good,18+,"Inmate Colin Briggs (Clive Owen) is introduced to gardening and when the thriving prison garden attracts the attention of flamboyant gardening expert, Georgina Woodhouse (Helen Mirren), she offers to sponsor the inmates in an upcoming flower show. At the Hampton Court Flower Show, Colin meets Georgina's daughter and a romance blooms.",51,False,False
M00075,Vitamin She,Gujarati,Romance,2017,2010s,137,5.7,Average,13+,"Jigar is a very happy go lucky freedom lover guy. He has a little fear about love from his childhood. His friends convince him that he needs a girl (Vitamin She) in his life to make his life worth living. One day Jigar accidently meets Shruti and falls for her. After some time they both become lovers. Everything is glossy and colorful in their life. But after some months, their illusion breaks.",72,False,False
M00076,Mayer Aasirbad,Bengali,Drama,2017,2010s,158,6.8,Good,13+,A 90’s Bengali movie about Madhu who visits the city. Will his mother’s blessings protect him and change his life?,20,True,False
M00077,Chaduranga,Kannada,Drama,1985,1980s,138,6.1,Good,NR,"Chaduranga is a 1985 Indian Kannada film, directed by V Somashekar and produced by R Venkataraman. The film stars Ambarish, Ambika, Vajramani and Mukyamanthri Chandru in lead roles. Music of the film was composed by G K Venkatesh.",38,False,False
M00078,Mugavaree,Tamil,Romance,2000,2000s,156,7.2,Good,All,"Sridhar (Ajith), an aspiring music director, has been struggling to get a foothold in the music industry for many years. He falls in love but is willing to put his relationship on a backburner for success.",36,False,False
M00079,Qatil,Hindi,Thriller,1988,1980s,140,6.0,Good,13+,"Kumar's father is a public prosecutor and a strong advocate of the death penalty. Kumar, who opposes his father's views, decides to teach his father a lesson by implicating himself in a murder case.",34,False,False
M00080,Noor Jahan,Bengali,Romance,2018,2010s,142,5.3,Average,13+,A Bengali romantic film about the love story of Noor and Jahan that gets threatened by the brutality of politics.,20,False,False
M00081,Innuma Nambalai Namburanga,Tamil,Drama,2014,2010s,130,6.4,Good,NR,"Innuma Nammala Namburanga is a 2014 Indian Tamil film, directed by S. R. Balaji and produced by Aniloops Production. The film stars Sudhagar, Thiruveni in lead roles.",27,True,False
M00082,Aftermath,English,Drama,2017,2010s,93,5.7,Average,16+,"Roman, a construction foreman, loses his wife and daughter in a devastating plane crash. He blames the air traffic controller, Jake Bonanos, who also struggles with the guilt of his mistake.",31,False,False
M00083,Ranjha Refugee,Punjabi,Drama,2018,2010s,122,5.5,Average,All,"While a Punjabi man fights for the love of his life, he ends up learning about his long-lost brother who was raised by a Muslim family.",26,False,False
M00084,Jab Tak Hai Jaan,Hindi,Action,2012,2010s,176,6.7,Good,13+,"Samar (Shah Rukh Khan) meets Meera (Katrina Kaif) in London & they fall in love. Samar however meets with a serious accident & Meera vows to God to leave Samar, if He allowed him to live. Samar angered with God, becomes a bomb disposal chief in the Indian Army. Here he meets Akira (Anushka Sharma). Is Akira able to unravel the mysteries, does Samar win the battle, or does God surrender to his love?",74,False,False
M00085,Vendetta (2015),English,Action,2015,2010s,90,6.4,Good,16+,"When his wife is killed, a detective goes to prison to seek vengeance. While inside, he discovers a secret that those in charge would kill to protect.",27,True,False
M00086,Partner,Hindi,Action,2007,2000s,142,5.7,Average,NR,"Prem likes to think that he knows all that there is to know about women. Growing up with six sisters made him more sensitive to the female psyche, and he's turned that skill into a successful career of helping other men in wooing the women of their dreams. One of his newest clients is Bhaskar, who has fallen in love with his wealthy boss, Priya. While helping Bhaskar, Prem develops feelings ...",72,False,False
M00087,Daphne,English,Drama,2017,2010s,87,6.1,Good,18+,'Daphne' is the vibrant character portrait of a young woman on the threshold of a much-needed change.,17,False,False
M00088,Urumbukal Urangarilla,Malayalam,Drama,2015,2010s,133,6.4,Good,13+,"A young man named Manoj approaches two thieves Kelu and Benny, to learn from them the art of theft. One day Manoj is caught and put in jail, where he reveals his true motives.",34,False,False
M00089,Neeharika,Malayalam,Drama,2014,2010s,110,6.4,Good,NR,"Neeharika is a 2014 Indian Malayalam film, directed by Saji Vaikkom and produced by Joshy R Thomas. The film stars Amal Dev Raj, Manu and Anjana Nair in lead roles. The film had musical score by Kilmanoor Ramavarma.",38,True,False
M00090,Jayasimha,Kannada,Drama,1987,1980s,141,7.1,Good,NR,"Jayasimha is a 1987 Indian Kannada film, directed by P. Vasu and produced by K C N Chandrashekhar and K C N Mohan. The film stars Vishnuvardhan, Mahalakshmi, Vajramuni and N S Rao in lead roles. Music of the film was composed by Vijay Anand.",45,False,False
M00091,Despicable Me,Hindi,Romance,2010,2010s,94,7.6,Excellent,7+,"Vying to be ""World's Greatest Villain"", Gru and his crew of hilarious minions plot the crime of the century: steal the moon -- but he meets his match when three little girls steal his heart.",35,False,False
M00092,Mud,English,Drama,2012,2010s,130,7.4,Good,16+,"Ellis and his friend Neckbone are two boys who meet Mud, a fugitive hiding out on an island in the Mississippi. Skeptical but intrigued by his fantastic scenarios, Ellis and Neckbone agree to help him. It isn’t long until Mud’s visions come true and their small town is besieged by bounty hunters.",52,False,False
M00093,Mere Yaar Ki Shaadi Hai,Hindi,Romance,2002,2000s,159,5.3,Average,All,"Sanjay's (Uday Chopra) phone rings. Anjali (Sanjana) his childhood friend is getting married. Observing Sanjay’s reaction to this news, his flatmate Ria (Bipasha Basu) concludes that Sanjay is in love with her. Sanjay sets off on a noble mission - to break the wedding. He meets the groom to be Rohit (Jimmy Shergill) and sets off on his crusade of poisoning the family’s mind against Rohit.",66,False,False
M00094,Homefront,English,Action,2013,2010s,96,6.5,Good,18+,"A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord.",20,False,False
M00095,Gladiator,English,Action,2000,2000s,154,8.5,Excellent,18+,"When a Roman general (Russell Crowe) is betrayed and his family murdered by a corrupt prince, he comes to Rome as a gladiator to seek revenge.",26,False,False
M00096,Mantramugdha,Bengali,Drama,1977,1970s,125,6.8,Good,NR,"Mantramugdha is a 1977 Indian Bengali film, directed by Arabinda Mukhopadhyay and produced by Raja Kapoor, Vinod Kapoor and R.N. Malhotra. The film stars Sabitri Chatterjee, Soumitra Chatterjee, Sumitra Mukherjee, Ranjit Mallick, Rabi Ghosh, Utpal Dutt in lead roles. The film has musical score by Hemanta Mukherjee.",47,True,False
M00097,De Dana Dan,Hindi,Romance,2009,2000s,167,5.4,Average,NR,"Apart from love, Nitin and Ram everything else in their lives have zero luck, including their bank balance! But now their rich girlfriends, Anjali and Manpreet, demand that they earn enough money so that they could either elope or break up forever. Broke and desperate, Nitin and Ram need to make big money and fast! They come up with a masterplan to kidnap Moolchandji, the pet dog of a rich s ...",72,False,False
M00098,Rockstar,Hindi,Romance,2011,2010s,157,7.7,Excellent,NR,Rockstar is a Hindi romantic drama movie on a typical Delhi boy Janardhan (Ranbir Kapoor) who chases his dream to be a Rockstar. He falls in love with the most popular girl Heer (Nargis Fakhri) in Delhi University but it doesn't go so smoothly. Watch Rockstar to witness the journey of Janardhan from a heart broken boy to a popular Rockstar sensation who expresses his tragedy through his songs.,69,False,False
M00099,The Pursuit of Happyness,English,Drama,2006,2000s,117,8.0,Excellent,All,"Will Smith stars in this moving tale inspired by the true story of Chris Gardner, a San Francisco salesman struggling to build a future for himself and his 5-year-old son Christopher (Jaden Smith).",33,False,False
